Project,ProjectPackages,ProjectFields,LibraryMethods,ProjectInstructions,ProjectMethods,LibraryClassFiles,LibraryFields,LibraryPackages,ProjectClassFiles,DP1,J8PC1,J8PC2,J8PC3,J8PC4,J8PC5,J8PC6,LIB1,LIB2,LIB3,LIB4,LIB5,JVMC1,JVMC2,JVMC3,JVMC4,JVMC5,TMR1.1,TMR1.2,TMR2,TMR3,TMR4,TMR5,TMR6,TMR7,TMR8,NJ,PB1,PB2,TR1,TR2,TR3,TR4,TR5,TR6,TR7,TR8,TR9,TR10,LRR1,LRR2,CSR2,CSS3,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,EC1,EC2,EC3,SerLam1,SerLam2,Unsafe1,Unsafe2,Unsafe3,Unsafe4,Unsafe5,Unsafe6,Unsafe7
appcompat-v7,1515.0,112996.0,0.0,8557840.0,259326.0,0.0,0.0,0.0,30911.0,0,9864,317,248,67,0,107,0,32316,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10327,103,291,332,239,136,232,60,32,520,80,57,164,48,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
assertj-core,1569.0,117918.0,0.0,8818507.0,278845.0,0.0,0.0,0.0,33549.0,0,10629,336,259,71,0,120,0,33639,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,12065,109,365,425,290,147,232,66,35,575,87,56,177,52,6,0,98,69,15,98,70,2,204,98,71,71,0,0,93,38,13,4,22,20,12
clojure-complete,1532.0,135403.0,0.0,9063785.0,270890.0,0.0,0.0,0.0,33697.0,0,9915,317,253,67,0,107,0,33903,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10582,103,290,332,240,138,234,63,33,1052,84,56,168,49,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
clojure,1539.0,127946.0,0.0,9130434.0,276396.0,0.0,0.0,0.0,34605.0,0,9951,317,253,67,0,107,0,34110,0,0,0,20,12,129,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10610,103,290,332,240,138,234,63,33,535,84,56,166,49,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
commons-beanutils,1531.0,114190.0,0.0,8648961.0,265030.0,0.0,0.0,0.0,31455.0,0,10267,329,248,67,0,107,0,33121,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10580,106,301,344,251,145,249,61,32,545,82,56,188,50,6,0,131,84,15,131,85,2,240,131,98,98,0,0,93,38,13,4,22,20,12
commons-codec,1519.0,113283.0,0.0,8601229.0,259994.0,0.0,0.0,0.0,30926.0,0,9888,317,248,67,0,107,0,32316,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10334,103,288,332,238,135,232,60,32,519,80,56,164,48,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
commons-collections,1524.0,113806.0,0.0,8615510.0,263361.0,0.0,0.0,0.0,31290.0,0,10199,329,248,67,0,107,0,32902,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10319,103,293,336,243,138,236,60,32,530,80,56,175,49,6,0,131,84,15,131,85,2,239,131,98,98,0,0,93,38,13,4,22,20,12
commons-io,1519.0,113338.0,0.0,8579599.0,260515.0,0.0,0.0,0.0,30957.0,0,9878,317,248,67,0,107,0,32322,0,0,0,20,12,131,24,3,24,107,5,0,1,3,2,17,10,0,18,2,10323,103,288,332,238,135,232,60,32,521,80,56,164,48,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
commons-lang,1522.0,113475.0,0.0,8605515.0,261559.0,0.0,0.0,0.0,30963.0,0,9915,317,248,67,0,107,0,32448,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10319,105,297,345,247,137,232,68,34,532,80,56,182,48,6,0,98,70,15,98,71,2,205,98,72,72,0,0,93,38,13,4,22,20,12
commons-lang3,1525.0,113812.0,0.0,8626942.0,262655.0,0.0,0.0,0.0,31100.0,0,9978,327,251,67,0,107,0,32320,0,0,0,20,12,127,23,4,24,107,5,0,1,3,2,17,10,0,18,2,10364,105,297,339,249,137,232,67,33,523,80,56,173,48,6,0,100,70,15,100,71,2,207,100,73,73,0,0,93,38,13,4,22,20,12
commons-logging,1514.0,113058.0,0.0,8561733.0,259527.0,0.0,0.0,0.0,30858.0,0,9852,317,248,67,0,107,0,32444,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10319,104,290,335,239,138,235,61,32,533,82,56,173,48,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
easymock,1535.0,114615.0,0.0,8616092.0,262036.0,0.0,0.0,0.0,31257.0,0,10032,318,249,67,0,107,0,32401,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10493,116,298,338,243,144,235,66,34,541,88,59,171,50,7,0,97,71,15,97,72,2,212,97,73,73,0,0,93,38,13,4,22,20,12
gson,1520.0,113356.0,0.0,8576724.0,260226.0,0.0,0.0,0.0,31010.0,0,9883,317,248,67,0,107,0,32326,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10456,106,291,335,238,136,232,64,33,521,82,56,164,48,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
guava,1567.0,116901.0,0.0,8746699.0,276068.0,0.0,0.0,0.0,33377.0,0,10863,344,324,79,1,157,0,32745,0,0,0,21,12,130,24,4,24,107,5,0,1,3,2,17,10,0,18,2,10557,107,297,340,247,138,232,65,32,527,84,56,166,50,6,0,126,88,15,126,89,2,241,126,90,90,0,0,96,40,13,4,22,20,12
h2,1547.0,117730.0,0.0,8853968.0,269736.0,0.0,0.0,0.0,31572.0,0,10350,317,257,67,0,107,0,33091,0,0,0,21,12,143,36,3,24,107,5,0,1,3,2,17,10,0,18,2,10520,123,314,348,266,136,248,62,34,537,80,56,171,48,6,0,99,71,15,99,72,2,206,99,73,73,0,0,93,38,13,4,22,20,12
hamcrest-all,1535.0,113498.0,0.0,8602641.0,260882.0,0.0,0.0,0.0,31034.0,0,9910,317,248,67,0,107,0,32397,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10334,103,290,332,240,135,232,60,32,521,80,56,166,48,6,0,98,69,15,98,70,2,205,98,71,71,0,0,93,38,13,4,22,20,12
hamcrest-core,1515.0,112975.0,0.0,8558118.0,259465.0,0.0,0.0,0.0,30875.0,0,9856,317,248,67,0,107,0,32314,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10328,103,288,332,238,135,232,60,32,519,80,56,164,48,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
hamcrest-library,1521.0,113030.0,0.0,8560993.0,259813.0,0.0,0.0,0.0,30910.0,0,9865,317,248,67,0,107,0,32314,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10331,103,290,332,240,135,232,60,32,519,80,56,164,48,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
httpclient,1561.0,115310.0,0.0,8668524.0,264988.0,0.0,0.0,0.0,31669.0,0,10048,320,248,67,0,107,0,32569,0,0,0,20,12,128,24,3,24,107,5,0,1,3,2,17,10,0,18,2,10386,105,293,338,241,139,236,61,32,536,82,56,173,48,6,0,100,69,15,100,70,2,206,100,71,71,0,0,93,38,13,4,22,20,12
jackson-annotations,1513.0,113069.0,0.0,8560402.0,259554.0,0.0,0.0,0.0,30898.0,0,9850,317,248,67,0,107,0,32317,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10349,103,288,332,238,135,232,60,32,519,80,56,164,48,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
jackson-core,1523.0,113685.0,0.0,8619989.0,261414.0,0.0,0.0,0.0,30937.0,0,9853,317,248,67,0,107,0,32881,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10330,103,288,332,238,136,232,60,32,520,80,57,164,48,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
jackson-databind,1544.0,115619.0,0.0,8751841.0,269387.0,0.0,0.0,0.0,31629.0,0,10162,317,249,67,0,107,0,33658,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,11136,107,302,332,249,144,232,65,33,524,80,57,167,49,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
javax.inject,1513.0,112934.0,0.0,8555877.0,259192.0,0.0,0.0,0.0,30836.0,0,9849,317,248,67,0,107,0,32314,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10319,103,288,332,238,135,232,60,32,519,80,56,164,48,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
javax.servlet-api,1516.0,113103.0,0.0,8559152.0,259887.0,0.0,0.0,0.0,30915.0,0,9850,323,248,67,0,107,0,32314,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10329,103,288,332,238,135,232,60,32,519,80,56,164,48,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
jcl-over-slf4j,1518.0,113076.0,0.0,8560740.0,259790.0,0.0,0.0,0.0,30873.0,0,9860,319,248,67,0,107,0,32351,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10328,103,290,334,239,135,232,60,32,519,80,56,164,48,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
joda-time,1519.0,113985.0,0.0,8622256.0,263674.0,0.0,0.0,0.0,31077.0,0,9950,320,258,67,0,107,0,32328,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10339,104,288,333,238,137,232,60,32,521,80,56,164,48,6,0,105,69,15,105,73,2,217,105,71,71,0,0,93,38,13,4,22,20,12
jsr305,1514.0,112939.0,0.0,8556068.0,259220.0,0.0,0.0,0.0,30865.0,0,9849,317,248,67,0,107,0,32314,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10320,103,288,332,238,135,232,60,32,519,80,56,164,48,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,12
junit,1545.0,113348.0,0.0,8577069.0,261092.0,0.0,0.0,0.0,31161.0,0,9953,317,251,67,0,107,0,32349,0,0,0,20,12,129,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10456,107,293,335,247,145,236,62,32,523,81,56,166,49,6,0,98,69,15,98,70,2,205,98,71,71,0,0,93,38,13,4,22,20,12
log4j-core,1562.0,115736.0,0.0,8671465.0,266022.0,0.0,0.0,0.0,31889.0,0,10286,341,278,67,0,107,0,32488,0,0,0,21,12,136,25,3,24,107,5,3,1,3,2,20,10,0,18,2,10691,113,294,344,250,143,242,68,32,523,80,56,169,48,6,0,98,69,15,98,70,2,204,98,71,71,0,0,93,38,13,4,22,20,12
log4j,1533.0,114084.0,0.0,8602756.0,261548.0,0.0,0.0,0.0,31144.0,0,9932,317,248,67,0,107,0,33143,0,0,0,20,16,141,26,3,24,107,5,0,1,3,2,17,10,0,18,2,10319,111,309,351,255,136,239,60,32,575,82,56,213,48,6,0,102,69,19,102,70,2,210,102,71,71,0,0,93,38,13,4,22,20,12
logback-classic,1579.0,114504.0,0.0,8617821.0,263080.0,0.0,0.0,0.0,31412.0,0,10032,318,248,67,0,107,0,32878,0,0,0,21,12,130,24,3,24,107,5,0,1,3,2,17,10,0,18,2,10700,106,297,341,243,138,237,60,32,528,83,56,167,49,6,0,99,70,15,99,71,2,208,99,72,72,0,0,93,38,13,4,22,20,12
lombok,1523.0,113052.0,0.0,8560932.0,259481.0,0.0,0.0,0.0,30973.0,0,9877,318,248,67,0,107,0,32314,0,0,0,20,12,127,23,3,24,107,5,0,1,3,2,17,10,0,18,2,10379,107,289,334,240,136,233,73,37,525,80,56,166,48,6,0,97,69,15,97,70,2,204,97,71,71,0,0,93,38,13,4,22,20,13
